Nama Sekolah,NilaiAkreditasi,JumlahSiswa,Jenis Sekolah,Kab/Kota
MA SWASTA MIFTAHUL ULUM,83,130,SWASTA,MADIUN
SMK PGRI 1 SURABAYA,92,130,SWASTA,SURABAYA
SMK MUHAMMADIYAH 2,92,130,SWASTA,MALANG
SMAN 1 PONOROGO,92,130,NEGERI,PONOROGO
MA DARUL FALAH,84,132,SWASTA,PONOROGO
SMK PENERBANGAN ANTARIKSA,85,132,SWASTA,MADIUN
SMK DARUT TAQWA PURWOSARI,89,133,SWASTA,PASURUAN
SMAN 1 Karangjati,91,133,NEGERI,NGAWI
SMK MUHAMMADIYAH 1,90,136,SWASTA,MALANG
MAS MIFTAHUL `ULUM,92,136,SWASTA,MAGETAN
SMFK BINA FARMA,94,136,SWASTA,MADIUN
SMK 1 SORE,87,137,SWASTA,PROBOLINGGO
SMK DARUL FALAH,81,138,SWASTA,JEMBER
SMA MUHAMMADIYAH 4 BALONG,83,138,SWASTA,PONOROGO
SMK INDUSTRI,84,139,SWASTA,MADIUN
SMAN 1 SUKOMORO,92,140,NEGERI,MAGETAN
SMKN 1 BAURENO,94,142,NEGERI,BOJONEGORO
SMAN 1 PULUNG,92,143,NEGERI,PONOROGO
MAN DOLOPO,91,144,NEGERI,MADIUN
SMK PGRI PANDAAN,92,145,SWASTA,PASURUAN
SMK DHARMA BAHARI,89,146,SWASTA,SURABAYA
SMKN 1 TAMANAN,91,146,NEGERI,BONDOWOSO
SMK Negeri 02 Turen,92,147,NEGERI,MALANG
SMKN 2 BOJONEGORO,92,148,SWASTA,BOJONEGORO
SMK INDO BARUNA SURABAYA,89,149,SWASTA,SURABAYA
SMKN CERMEE,89,149,NEGERI,BONDOWOSO
SMK MATSARATUL HUDA,88,150,SWASTA,PAMEKASAN
SMK 3 PANCASILA AMBULU,93,151,SWASTA,JEMBER
SMA PANCA BHAKTI MAGETAN,86,155,SWASTA,MAGETAN
SMK NU SUNAN GIRI KEPANJEN,88,156,SWASTA,MALANG
SMK BRANTAS GEMPOL,84,159,SWASTA,PASURUAN
SMK MUHAMMADIYAH 2,86,161,SWASTA,PONOROGO
SMK BERDIKARI JEMBER,86,161,SWASTA,JEMBER
SMK KECIL DARUL FIKRI,90,161,SWASTA,PONOROGO
SMKN 1 SURABAYA,95,161,NEGERI,SURABAYA
SMA BAKTI,91,162,SWASTA,PONOROGO
SMKN WONOREJO,94,163,NEGERI,PASURUAN
SMK (STM) MUHAMMADIYAH 1 GRESIK,92,166,SWASTA,GRESIK
SMKN 3 MALANG,96,166,NEGERI,MALANG
SMKN 3,93,170,NEGERI,PROBOLINGGO
SMK AL AZHAR SEMPU,90,171,SWASTA,BANYUWANGI
SMK PGRI 2,94,174,SWASTA,PONOROGO
SMK Muhammadiyah 1 Prambon,85,175,SWASTA,NGANJUK
SMKN 1 SUGIHWARAS,91,175,NEGERI,BOJONEGORO
SMK Muhammadiyah 1 Nganjuk,93,175,SWASTA,NGANJUK
SMK (SMEA) WIJAYA KUSUMA DAGANGAN,86,176,SWASTA,MADIUN
MAN MEJAYAN,93,176,NEGERI,MADIUN
SMK MAMBA' UNNUR 02 PONCOKUSUMO,84,177,SWASTA,MALANG
SMKN PRAJEKAN.,92,177,NEGERI,BONDOWOSO
SMK MINHAJUT THULAB MUNCAR,84,178,SWASTA,BANYUWANGI
SMK PGRI 1 PACITAN,88,178,SWASTA,PACITAN
SMK KUSUMA TERATE MADIUN,88,179,SWASTA,MADIUN
SMK (STM) Siang Surabaya,89,180,SWASTA,SURABAYA
SMK JAYA NEGARA LAWANG,94,180,SWASTA,MALANG
SMK AN-NUR,86,182,SWASTA,SAMPANG
SMK AL BASTHI,83,183,SWASTA,PAMEKASAN
SMAN 1 MEJAYAN,92,183,NEGERI,MADIUN
SMK DHARMA WIRAWAN,88,184,SWASTA,PASURUAN
MAS HIDAYATUL MUBTADIIN,89,184,SWASTA,MAGETAN
SMKN 2 JIWAN,94,184,NEGERI,MADIUN
SMK Kosgoro Nganjuk,92,186,SWASTA,NGANJUK
SMKN 1 SAMPANG,90,193,NEGERI,SAMPANG
SMK Muhammadiyah 2 Kertosono,91,193,SWASTA,NGANJUK
SMKN 1 PAMEKASAN,92,193,NEGERI,PAMEKASAN
SMK KARYA BHAKTI TIRTOYUDO,82,196,SWASTA,MALANG
SMK AL-AZHAR,89,196,SWASTA,GRESIK
SMAN 6 MADIUN,91,199,NEGERI,MADIUN
SMK TARUNA,89,200,SWASTA,BOJONEGORO
SMK N DONOROJO,92,201,NEGERI,PACITAN
SMKK NURUL DHOLAM BLEBER,81,202,SWASTA,PACITAN
SMK 2 SIANG,82,202,SWASTA,PROBOLINGGO
SMK DARUL MUKHLASIN,92,205,SWASTA,PROBOLINGGO
SMA KP Jogorogo,82,206,SWASTA,NGAWI
MAN 1 MADIUN,91,206,NEGERI,MADIUN
SMKN 8 MALANG,93,206,NEGERI,MALANG
SMK DARUT TAUHID BANGIL,88,208,SWASTA,PASURUAN
SMK GAMALIEL 1 MADIUN,91,208,SWASTA,MADIUN
SMAN 1 SAMPUNG,92,208,NEGERI,PONOROGO
SMALB B,85,209,SWASTA,NGAWI
SMK BAKTI,92,209,SWASTA,PONOROGO
SMK KARTIKA IV-I,92,209,SWASTA,MALANG
SMK Grafika PGRI Pakis,83,213,SWASTA,MALANG
SMK AL-MAWADDAH,89,217,SWASTA,PONOROGO
SMK PGRI 13 SURABAYA,92,217,SWASTA,SURABAYA
SMK PGRI 1 PASURUAN.,93,217,SWASTA,PASURUAN
SMKN 4 MALANG,96,217,NEGERI,MALANG
SMK MUHAMMADIYAH 2 KUTOREJO,83,221,SWASTA,MOJOKERTO 
SMKN 1 SINE,89,224,NEGERI,NGAWI
SMAN 1 GEGER,91,224,NEGERI,MADIUN
SMALB BETHEL,87,226,SWASTA,MADIUN
SMK PEMKAB,92,226,SWASTA,PONOROGO
SMK BHAKTI LUHUR,92,226,SWASTA,MALANG
SMK NU MIFTAHUL HUDA KEPANJEN,88,230,SWASTA,MALANG
SMKN 10 MALANG,94,230,NEGERI,MALANG
